stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
39,0.5,6.5,104.33097370000905,,104.31601710000541,104.33097370000905,104.83100219999324,104.83100219999324,104.83100219999324,105.1308418000117,105.64939740000409,left,-6.5,1,1,0.8133925000147428,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
40,0.5,6.5,105.66439640001045,,105.64953840000089,105.66439640001045,106.1641973000078,106.1641973000078,106.1641973000078,106.46379290000186,106.61636569999973,right,6.5,1,1,0.43867210001917556,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
41,0.5,6.5,106.63093820001814,,106.61649390001548,106.63093820001814,107.13066200001049,107.13066200001049,107.13066200001049,107.42970300000161,107.798884799995,left,-6.5,1,1,0.6655036000011023,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
42,0.5,6.0,107.81363590000547,,107.79902130001574,107.81363590000547,108.31242940001539,108.31242940001539,108.31242940001539,108.61307000002125,108.65102000001934,right,6.0,1,1,0.32340579997980967,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
43,0.5,6.0,108.66260420001345,,108.6511655000213,108.66260420001345,109.1656956000079,109.1656956000079,109.1656956000079,109.47921889999998,109.73105380000197,left,-6.0,1,1,0.551304299995536,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
44,0.5,6.0,109.74629130001995,,109.73118960001739,109.74629130001995,110.24612029999844,110.24612029999844,110.24612029999844,110.5458282000036,110.6470391000039,left,-6.0,0,0,0.38449960001162253,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
45,0.5,6.5,110.66215010001906,,110.6471762000001,110.66215010001906,111.16236770001706,111.16236770001706,111.16236770001706,111.4620564999932,112.13040620001266,left,-6.5,0,0,0.9570915000222158,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
46,0.5,7.0,112.14570789999561,,112.13055250002071,112.14570789999561,112.6448355000175,112.6448355000175,112.6448355000175,112.94487030000892,113.32979670001077,right,7.0,1,1,0.6821548999869265,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
47,0.5,7.0,113.34445190001861,,113.32993540001917,113.34445190001861,113.84444690000964,113.84444690000964,113.84444690000964,114.14425919999485,114.6621817999985,right,7.0,1,1,0.8064697999798227,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
48,0.5,7.0,114.6775318,,114.66231070001959,114.6775318,115.17756900002132,115.17756900002132,115.17756900002132,115.47718420001911,116.0623057000048,left,-7.0,0,0,0.8697084999876097,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
49,0.5,7.5,116.07739740001853,,116.06248340001912,116.07739740001853,116.57697180000832,116.57697180000832,116.57697180000832,116.87662600001204,118.46093090000795,left,-7.5,1,1,1.8716088999935891,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
