pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,9,1,37,1,,,,,101.5183983000461,,101.50085910002235,101.5183983000461,102.50238360010553,102.50238360010553,102.50238360010553,102.50238360010553,102.51558100001421,103.51541980006732,103.51541980006732,105.99994330003392,v,1,2.475979099981487,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,9,2,38,2,,,,,106.01754380005877,,106.00137030007318,106.01754380005877,107.00231280003209,107.00231280003209,107.00231280003209,107.00231280003209,107.01550140010659,108.01598060003016,108.01598060003016,108.64797850011382,c,1,0.620733099989593,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,9,3,39,3,,,,,108.6658736000536,,108.64946480002254,108.6658736000536,109.65038420003839,109.65038420003839,109.65038420003839,109.65038420003839,109.66342860006262,110.66261430003215,110.66261430003215,111.26500210002996,z,1,0.5994427000405267,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,10,0,40,0,,,,,111.28158700000495,,111.2662954000989,111.28158700000495,112.26543240004685,112.26543240004685,112.26543240004685,112.26543240004685,112.27869890001602,113.27818160003517,113.27818160003517,117.92894140002318,x,1,4.646305599948391,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,10,1,41,1,,,,,117.9468452000292,,117.93071540002711,117.9468452000292,118.93049590010196,118.93049590010196,118.93049590010196,118.93049590010196,118.943361200043,119.94341040006839,119.94341040006839,120.59574160003103,v,1,0.636568299960345,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,10,2,42,2,,,,,120.61253820010461,,120.59710450004786,120.61253820010461,121.60961260006297,121.60961260006297,121.60961260006297,121.60961260006297,121.60961260006297,122.6089538000524,122.6089538000524,123.91060770000331,c,1,1.2979705999605358,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,10,3,43,3,,,,,123.9275766001083,,123.91197660006583,123.9275766001083,124.91211840009782,124.91211840009782,124.91211840009782,124.91211840009782,124.92479240009561,125.92407410009764,125.92407410009764,127.49162490002345,z,1,1.559806099976413,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,11,0,44,0,,,,,127.50958940002602,,127.49246070010122,127.50958940002602,128.49300750007387,128.49300750007387,128.49300750007387,128.49300750007387,128.50696010002866,129.50615560007282,129.50615560007282,131.82496890006587,x,1,2.3150804999750108,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,11,1,45,1,,,,,131.84159460000228,,131.82645580009557,131.84159460000228,132.8257960000774,132.8257960000774,132.8257960000774,132.8257960000774,132.83873320010025,133.83809180010576,133.83809180010576,134.540108300047,v,1,0.6978544000303373,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,11,2,46,2,,,,,134.55739340011496,,134.54164560011122,134.55739340011496,135.5416169000091,135.5416169000091,135.5416169000091,135.5416169000091,135.55429810006171,136.5538244000636,136.5538244000636,137.4054498000769,c,1,0.8414323999313638,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
